Description,Title
"•	Interface with customer and be the single point of contact for all requirements
•	Creation of demo, POC and presentations
•	Estimating implementation effort
•	Conducting requirement gathering meetings and interviews
•	Writing and editing functional documents including Scope of work, Software Requirement Specifications, Business Process Models, Use Cases etc.
•	Managing complete project life cycle
•	Built teams, defined roles, managed resources, coordinated meetings, evaluated risks & issues
•	Facilitated team collaboration & fostered communication; created and managed action item databases
•	Coordinated critical activities, managed engagements & expectations, secured time-critical approvals
•	Overall responsibility for project profitability, resource utilization, recruitment and retention",Manager
"Successfully lead a team of four personnel in supporting the Configuration Management, Product Definition, and various other engineering, quality, and manufacturing disciplines, to resolve helpdesk related incidents. Issues associated to resolution of incidents addressed software, data, and customer limitations

Ensure all incidents submitted are reviewed, researched and resolved per the business processes (a.k.a. standard work instructions) of the Systems Design and Components Integration business unit at Pratt and Whitney.
Effectively use the ACE (Lean and Six Sigma) operating system tools to eliminate unnecessary spending, identify areas for improvement (team performance), and enhance productivity.
Provide system level testing and support as required f or new builds/software upgrades to be implemented in the database.
Used UNIX, Solaris and AIX, to execute utilities provided by the software vendor support group to modify data, and perform basic administrator functions.
Perform basic project management skills to ensure successful planning and execution of all projects assigned.",Database Administrator
"•	Worked as a lead designer to customized the liferay features (WCM, Doc & Media etc).
•	POC to customized liferay behavior.
•	SQL tuning for best performance.
•	Prepared and presented concept of performance improvement to Client.
•	Provided training to team members on Portal foundation  .
•	Code review and bug fixing.
•	Managed dependencies between multiple teams.
•	Maintained application and solving day to day user queries.
•	Interacted with the client on regular basis to solve the issues faced.
•	Took understanding of the client environment as well in order to find out the best possible solution.
•	Learned Seam framework which was used in the application and implemented the same to complete the application change in time.
",Technical Lead
"•	Sprint planning, daily stand up meeting, sprint review and retrospection
•	Ensuring that all the user stories are done at the end of every sprint
•	Co-ordination with Functional Team for requirement gathering
•	Ensuring QA validation and getting UAT signoff on time for production promotion
•	Ensuring successful delivery of the project as per scope in SOW and on time",Manager
"?	Creating Test Plan and Test Cases for all kind of testing in Oman.
?	Writing End to End Test cases for System Integration.
?	Daily, Weekly and Monthly Status Reporting.
?	Exit Reports at the end of each sprint
?	Data Migration and Synchronization test for VIS.
?	Automation using QTP of Regression and Migration test scenarios.
?	Review Test Scenarios and Test Cases identified by the team.
?	Involve in the Functional and Technical Analysis during database migration.
?	Design and execute regression testing suites on impacted systems.
?	Defect Triage during SIT.",Quality Assurance
"•	Involved in the preparation of Test Plan, Test Estimation and Exit report.
•	Assigned and coordinated work from offshore.
•	Prepared status summary reports with details of executed, passed and failed test cases on daily and weekly basis.
•	Test case preparation with 100% test coverage.
•	Conducted Knowledge sharing sessions to the new members joined   offshore team 
•	Actively participated in analyzing defects with the onsite team.
•	Responsible for the preparing and maintaining artifacts like Understanding documents, Defect/Clarification Tracker, Test scripts and Execution of Test cases.
•	Involved in different kinds of testing like Functional, Regression and UAT testing.",Quality Assurance
"Administered and verified database security is maintained according to best practice and company's needs
Applied patches and upgrades to both Oracle and Banner to provide local support of upgrades and installs.
Assisted developers with database creation and sizing
Assisted developers with database design to include an understanding of performance implications
Assisted production support team in resolving performance issues, defects, and database availability issues
Collaborated with System Administration team to properly manage database resources, process monitoring, disk management and a comprehensive backup strategy
Developed a database structure that fit into the overall architecture of the system under development
Developed relational and/or Object-Oriented databases, database software, and database loading software
Developed reports and queries to extract data from new and existing relational database applications as necessary
Ensured database backup strategy including database rollback operates accurately and reliably
Executed policies, procedures and standards related to database management
Handled day to day monitoring and maintenance of database
Implemented upgrades, applied patches and troubleshooting issues
Made trades among data volumes, number of users, logical and physical distribution, response times, retention rules, security, and domain controls
Managed user access and security issues such as roles and privileges
Monitored transaction activity and utilization
Performed daily administration, maintenance and support of Oracle Database and Applications Servers used for web-based Ellucian Banner ERP environment and SQL Server environment
Provided basic training and support in the creation of simple queries and reports
Resolved technical and functional issues identified with all supported ERP modules and other integrated application systems
Worked with staff and administrators to analyze database management needs",Database Administrator
"Provides database design and management support for all GIS energy projects ranging from thousands to millions in revenue. Improved database application performance by monitoring and tuning databases to optimize storage and minimize server processing.

Created, documented, and integrated GIS data models and data standards using the base APDM, PODS, and AETM.
Successfully upgraded SQL Server, ArcSDE, and ArcLicense Manager Applications across multiple servers with minimal production impact.
Tested, implemented, and supported database replication including both ArcSDE and SQL Server Replication types in an editing environment.
Solved 85% of all ArcSDE related help desk tickets within a 24-48 hour time span.
Documented GIS infrastructure information including server type, operating system, DBMS build, and GIS application build.",Database Administrator
"As a Project Manager my key responsibilities are to ensure the following are carried out in accordance with the defined expectations - 
·	Progress - deliverables are being completed within the baselined time scales 
·	Cost - deliverables are being completed within the baselined cost plan 
·	Quality - deliverables are being completed to defined expectations, first time 
·	Performance (Value) - progress is being earned for the expected cost 
·	Cash flow - net project cash flow is being achieved as the defined expectations 
·	Regulatory - all required statutory and regulatory conditions are being met 
·	Reporting - regular and timely reporting of project progress to the sponsors 
·	Risk - to proactively manage foreseen project risk, mitigating as necessary 
·	Change - managing changes to the project without unduly affecting the stated objectives and benefits",Manager
"Led group of developers in generating web based database applications. Generated SOW, system requirements, design specifications, data modeling, group management and customer liaison.
Developed and maintained PL/SQL stored procedures, ETL and triggers for various academic web based applications.
Supported academic end users and senior level management with data report requests.
Installed and maintained Oracle and Microsoft SQL Server data base instances.
Provided data modeling and data ETL for all web application development.
Executed periodic data loads and provided support for various mission critical web based applications.",Database Administrator
"•	Create a comprehensive Implementation Project Plan including a Scope Statement, Risk Register and Task Register
•	Establish requirements and baselines to define and manage key performance metrics
•	Work with Application, Security and other cross-functional teams to manage security risks and provide necessary support
•	Develop, initiate and maintained project schedule, project documents, and meeting notes
•	Identify project stakeholders and stakeholder requirements and negotiate project governance rules with these key individuals
•	Manage Proposal process for projects - accountable for generation of Engagement Proposal and Assessment
•	Work with Sourcing Management and multiple Vendor’s on generation of project SOU/SOWs
•	Establish and Manage projects and ultimately accountable for all project delivery–Initiate, Plan, Execute, Monitor, Close
•	Perform Status Reporting, Project Procurement, Financial Management (actual, forecast, estimate to complete), 
Stakeholder Management, Gate Approvals, and Steering Committee and Governance Board Reviews 
•	Lead initiatives to ensure compliance with company standards and policies as well as state and federal regulatory agencies with a primary focus on reducing exposure to access privileged applications and environments (FIPS, PCI, FISMA, GSA)
•	Identify process improvement opportunities, assess feasibility and make recommendations to leadership for consideration
•	Establish Communication and Escalation Plan and facilitate standing meetings
•	Work with business stakeholders and end users to define UX/UI requirements/solutions
•	Identify Risks and create and maintain actionable Mitigation Plan and Issue Management 
•	Perform Quality Review of project deliverables outlined in the SOU/SOW
•	Escalate project issues with a contractual SoU/SoW impact to SLA Team
•	Manage transformation projects from end to end including transition to support initiatives, Change Management and BPM
•	Lead teams through all phases of project lifecycle including, Initiation, Requirements, Design (wireframes, UI/UX/GUI, page layout, formatting), Build, Test, Deploy, Warranty/Support
•	Work with vendor and analyst teams to define and document functional and technical requirements
•	Manage all project components and deliverables for Infrastructure Projects",Manager
"•	Enhance the existing framework for UI and API testing
•	Writing feature file for new enhancement in the product
•	Writing script for new features
•	Integrate the new feature with existing CI
•	Analyze the CI jobs and find the Root cause analysis of the build failure
•	Analyzed the server logs using Putty and WinSCP",Quality Assurance
"•	Preparation of SOW
•	Requirement analysis and estimation of work packages
•	Joint Analysis and Design with customer
•	Helping team in design and development
•	Ensure QA validation, successful delivery and Go-Live
•	Sprint Planning, daily stand up meetings, review and retrospection",Manager
"Created Oracle 8i databases for 2 large departments, from planning and testing through production.
Implemented backup and recovery procedures of databases in Sun Solaris and Red Hat Linux environment: implemented backup and recovery procedures and IT department manual.
Managed database remodeling and interface development during migration from MS Access to MS SQL server and from MS SQL to Oracle 8i
Enhanced MS-Access databases by improving user interface, introducing multiple-user access, and increasing security and stability
Involved in all phases of database development, from needs assessment to QA/QC, design, and support",Database Administrator
"•	Requirement analysis and helping out team members in estimating the project.
•	Helping out team members in setting up POC and Pre-Production environment.
•	Helping out team members in SIT, Regression Testing
•	Helping out business in UAT
•	Preparation of Cutover Plan of Go-Live
•	Making Go-Live successful",Architect
"Provides database administration support to projects that are assigned by Burlington.
Lends technical assistance to project team members and database administrators.
Troubleshoots company’s and subsidiaries’ database issues and applications.
Performs the following database administration tasks such as DBMS installations and upgrades, migrating databases, changing server configuration parameters, transferring system databases and managing users and logins.
Develops, tests and institutes SQL scripts as required by Burlington’s projects.
Prioritizes assigned tasks and ensures these are completed on or before the scheduled date of completion.",Database Administrator
"•	Involved in the Gathering and analyzing business requirements and help business analyst to create Functional requirement document.
•	Conducted workshops and interviews for business users to formulate work strategies. 
•	Business case formulation and analyzing the impact on overall solution delivery to management.
•	Reviewing and managing all the necessary documentation required for the project work.
•	Project management using AGILE methodology and Involved in implementation of the complete solution like task allocation, team managing and tracking.
•	Designing the technical architecture of complete system using latest technology stack.
•	Involved in development of common complex functionality.
•	Delivered the complete solution to client.
•	Client SIT (System Integration Testing) and UAT (User Acceptance Test). 
•	Involved in providing training the internal stake holders.",Architect
"•	Operational Service Configuration.
•	Implemented widget structures.
•	Implementing GIS functionalities:
•	Geocoding, reverse Geocoding on Map. 
•	Explore, override and enhancement of ESRI direction widget.
•	Proximity analysis of data services. 
•	Sharing functionality through social networking. 
•	Responsible for GUI designing.
•	UI development for smartphone/tablet using media query.
•	Resolving service tickets from customers. 
•	Managing change request and supporting during various testing and go live phase.
•	Direct interaction with client for unplanned requirements and supports.
",Software Engineer
"Created new databases, involving importing and exporting: installing and configured database software for Oracle Application development environment.
Responsible for Oracle 9i logical and physical databases design, implementation, and maintenance
Reorganized databases and sized database objects to meet standards and improve performance 30%
Handled database server tuning, application tuning, maintaining documentation, capacity planning and database security",Database Administrator
"•	Involved in development of Imaging & queue based workflow (Newgen FinFlow 1.0, 2.0) and document management (CitiDocs) system applications on VB 6.0, ASP technologies in domains of Banking and Insurance.
•	Onsite Coordinator to implement a window/web based workflow application for Bank of Punjab (India) to automate their loan processing division and Philips (India) to process Billing and Vendor payment.  ",Software Engineer
"?	Preparing Test Cases, Traceability Matrix
?	Interacting with cross applications for getting the data setup and having the claims available for our testing.
?	Integrate and communicate with onsite team members for technical and business requirements
?	Give suggestion to Business regarding Usability of the application which in result accepted as a change request.
?	Hosting defect tracking and Issue discussion calls inviting Business folks as well.
?	Imparted training within team on the functionality of the application",Quality Assurance
"•	Designing Test scenario & Test cases.
•	Writing Test Cases in Test link
•	Implementation of processes & Procedures
•	Involved in target Test Execution
•	Training of offshore test resources
•	Work assignment Involved in Client calls.",Quality Assurance
"•	Designing scenario test cases of the functionalities according to business rules.
•	Validating the Profile data getting created and migrated for users in the database.
•	Analyzing functionality and proposing appropriate solution according to business rule.
•	Verifying data at the GDS level using Focal Point.
•	Transferring Domain knowledge to the team members
•	Solely handling enhancements that are incorporated in the application as part maintenance.
•	Reporting of the bugs through Mercury Quality Center and Mantis.
•	Preparing presentations
•	Audit and SMR
•	Mentoring and motivating the team for increasing their operational efficiency",Quality Assurance
"Key member of the Centre  of Excellence  team which specializes in designing, architecting and delivering projects across middleware domain.
•	Work with the BD team to complete proposal efforts including project scoping.
•	Create & execute project work plans & revise as appropriate to meet changing needs & requirements.
•	Conduct risk analysis & prepare mitigation strategies where necessary.
•	Coordinate multidisciplinary activities to ensure that the project deliverable are met.
•	Identify  resources  needed  &  work  with  section  heads  to  assign  individual responsibilities.
•	Manage day-to-day operational aspects of a project & scope.
•	Review deliverable prepared by team before passing to client.
•	Effectively apply methodology & enforce project standards.
•	Conduct  project  review  meetings  with  clients  &  prepare  agendas,  meeting minutes & project summaries.
•	Hold regular status meetings with project team.
•	Ensuring the adherence to the delivery dates.",Technical Lead
"•	Requirement analysis.
•	Helping in formulating the business case for the user stories. Individually designed the logical and physical structure of the Project.
•	Product backlogs maintenance support to Product owner.
•	Sprint backlogs creation.
•	Sprint planning.
•	Release planning.
•	Optimizing sprint completion strategy based on the burn down and burn up charts.
•	Weekly status reporting to stakeholders.
•	Envisioning and rough TAD document preparation.
•	Coordination among the team members and different teams.
•	Peer code review and weekly team code review.
•	User Stories review and sign-off from my side.
•	FWT (Feature Walk Through) of the requirement to the stakeholders. 
•	Changes requested by stakeholders during the FWT.",Technical Lead
"?	Consuming RESTful web services
?	Implementing backbone views
?	Implementing backbone models and collections
?	Implementing the templates using Handlebars
?	Writing the CSS for views",Software Engineer
"?	Data Extraction and management using BRIO
?	Data updating and data reporting on Oracle Logistics (Oracle EBS).
?	Data Validations and Worksheet Creation.
?	Handling/Resolving customer queries within 30 min TAT
?	Perform database validation using SQL queries
?	Involved in setting up test systems for executing test cycles.",Quality Assurance
"•	To provide an end-to-end solution to the client and executing the project as per the software development life cycle.
•	Specifically, it includes Requirement Analysis, creating documents like Functional Specifications and Design document, Programming and Troubleshooting.
•	Also includes managing client deliveries and client communication for project processes like requirement gathering, knowledge transfer, troubleshooting, problem solving and so on.
•	Execute user interface designs from product requirements and UI specification.
•	Performance optimization of applications for maximum speed and scalability.
•	Coordinating multiple project activities such as project team meetings, requirements and architecture sessions, and coordination of end-to-end efforts.",Software Engineer
"Performed extensive follow-up procedures to obtain, update, and validate information; maintained an exceptionally high accuracy rate through data verification, attention to detail, and regular quality control checks.
Coordinated the migration of project information from an existing system to new database, enabling company to produce proposals and other project-related documentation more efficiently.
Researched database and performed queries to obtain specific employee-related data for various internal departments.
Interfaced with software vendor to coordinate the resolution of system problems.
Prepared Excel spreadsheets to aid in database maintenance.",Database Administrator
"?	Define Structure of Application
?	Development of Jquery/JavaScript based modules for different part of application
?	Reusable Interactive Template creation ( Single choice/Multiple Choice, Drag and Drop)
?	Write Media queries and CSS for Desktop and Tablet version
?	LMS/Scorm Interaction
?	Send user Data to Scorm and track the Completion.",Software Engineer
"•	Requirement analysis and designing of the enhancements.
•	Code review of the enhancements.
•	Helping team members in resolving business incidents.
•	Worked on the application improvement plan and raised new enhancements to stabilize the application.
•	Interaction with client.",Technical Lead
"
•	Designing the test plans as per the defined scenarios.
•	Creating and configuring the test data.
•	Test case writing and execution on ITIM.
•	Regular interaction with the onsite team for status updates and issue resolution.
•	Hands on experience of deploying identity solutions using IBM Tivoli Identity Manager.
•	User provisioning and de provisioning in IBM Tivoli Identity Manager.
•	Managed users, their accounts and passwords in IBM Tivoli Identity Manager.
•	Executed Reconciliation and Life Cycle Processes in IBM Tivoli Identity Manager.
•	Executing the various client defined scenarios for the user and verifying their impact on the security of the web application.
•	Currently leading the offshore team of 3 people. 
•	Bug tracking and version control.
•	Regular client interaction for status updates and issue resolution.
•	Prepared configuration files.
•	Data validation of values pulled by the parser.",Quality Assurance
"•	Involved in designing and Writing System test Scripts.
•	Involved in executing test scripts in Integration/Regression Testing phases.
•	Fully involved in UAT testing phase to support client.
•	Fully involved in Defect Prioritization, Defect Triaging and reporting to the test lead.",Quality Assurance
"?	Worked as Project Lead, individual contribution and support to team members to achieve goals.
?	Participates in requirement analysis Client/onsite coordinator.
?	Reviewed/created the Technical documents, test cases and code, and creating their related review documents.
?	Worked on Vendor Import functionalities.
?	Worked on AR Customer Notification where customers get notified if they have past due date with Market Letter.
?	Currently working on AR Customer Notification where customers will be notified if they have past due date with Market Letter if needed.
?	Allow the Taxes for Non-Trade Invoice and distribution of amount in GL Accounts.
?	Add functionalities to maintain the attachments for company and vendors.
?	Worked on EFT routing number updated for customers and venders, change for Bank Account is not active. Worked on and for Email Alert for vender and customer EFT bank account changed.
?	Worked on Cash management module enhanced for Bank Reconciliation-
•	Manual Reconciliation created.
•	Auto Bank Reconciliation created for one-to-one, one-to-many, many-to-one and                    many-to-many mapping. 
•	Changed in Bank transactions import and miscellaneous deposit import.
?	Worked on following to enhance the application for Internationalization-
•	Technical design documents; Use Cases; Activity diagrams.
•	Implemented framework used to convert the file and database scripts according to Internationalization.
•	Crystal reports updated for localization.
•	Server side SSRS reports updated for localization.
•	New client side SSRS reports created for site level application",Technical Lead
"Provide technical leadership. Mentor junior staff on database technical details. Provide technical assistance to developers
Provide technical support to databases, including system management, backup/recovery, account management, configuration management, and trouble calls
Estimate effort to complete software development activities and provide input that adds value to the management of software development projects
Work with application development staff to develop database architectures, coding standards, and quality assurance policies and procedures
Has full authority for assigning, directing and evaluating work; conducting performance evaluations, progressive counseling and career development discussions
Assist with Windows Server configuration and management as it relates to MS SQL Server installation and performance
Perform and manage daily database maintenance, monitoring and performance tuning tasks/jobs",Database Administrator
"•	 Responsible for running periodic jobs and maintaining the audit on the job result.
•	Configuring the Workflows and Notifications as per the requirements given by customer.
•	Supporting the customer issues.
•	Execution of daily, weekly, monthly administrative activities required to maintain the overall infrastructure.  Administrative tasks include on-call rotation, monitoring and responding to server events, ensuring data replication, gathering server statistics, and performing general maintenance tasks, as defined by Customer Contract SLA’s. 
•	Involved in managing users and validating their arcot id status in the end system of IBM Tivoli Identity Manager. 
•	Test case designing, outlining the test Scenarios and creating SQL queries for testing.
•	Execution of Test cases. 
•	Managing the Defect Management cycle in VSTS.
•	Worked on both Desktop and Web based applications.
•	Exposure and involvement in Software development life cycle, test life cycle, bugs life cycle, Reverse Engineering.
•	Monitor Zero Day Alerts events, if event matches the criteria as per Key Ops then escalate as per process.
•	Perform Monthly, Weekly and Daily incident reports.
•	Provide a complete incident details as per process, open or assign trouble tickets relative support group system owner for security issues and take updates on daily basis
•	Working knowledge of upgrades and migration paths available through IBM Tivoli Monitoring V6.2 
•	Working knowledge of OS, networking, and firewall concepts 
•	Shared ID Project deployment Subject Matter Expert.  
•	Collaborated with the Team Lead to improve processes and procedures for the Shared ID project 
•	Create / Load data into Tivoli format. 
•	Managed All IBM service accounts, ensuring cradle to grave accountability of data  ",Quality Assurance
"?	Interacting with cross applications for getting the data setup and having the claims available for our testing.
?	Integrate and communicate with onsite team members for technical and business requirements
?	Imparted training within team on the functionality of the application
?	Prepared documents that can help any other person to understand functionality of  the application
?	Preparing Test Cases, Traceability Matrix
?	Helping team in execution of test cases
?	Providing key suggestion to business team, which were much appreciated by onshore & offshore teams.",Quality Assurance
"Performed Database Installations, Upgrades and Configurations.
Created, managed and maintained Data Flow Diagrams, Software and Network Architecture using Visio 97.
Migrated databases from Access97 to SQL 7. 0.
Monitored the Transaction activities.
Provided 24x7 production database support through on call.
Worked closely with Project Manager, Programmers and Testers to ensure the application meets business requirements.
Participated in all aspects of Application Software Development Life Cycle.",Database Administrator
"•	Managing end-to-end delivery of projects (including architecting, back-up & recovery, disaster recovery, etc.), based on the Onsite-Offshore Delivery Model
•	Worked on creating the Enterprise Roadmap for the company’s Warehousing and reporting vision. Setting up policy around the Referential data. 
•	Planning for risks and putting in place requisite measures to mitigate them
•	Driving the set-up and implementation of quality processes
•	Conducting technical vendor evaluations of various vendors to find suitable replacement for the existing outdated systems
•	Working on the architecture and designing of the reporting database and ETL sync from all source systems
•	Designing the business solution and preparing effort/ cost estimates; designing and monitoring the implementation of extraction and conversion of data from old system to the new Oracle eBS system
•	Utilizing various tools for reporting and conversion work streams such as PL/SQL and Informatica; using Autosys sequencing and scheduling database jobs
•	Acting as an escalation point to resolve issues for all support issues; driving resolution of customer's technical support issues; adhering to all SLAs as negotiated with the clients
•	Monitoring and handling the administration and implementation of Data Warehousing databases
•	Administering, monitoring and tuning Oracle Databases in line with organisational needs
•	Managing the design and implementation of application security and database security measures
•	Identifying the team’s training & development needs; designing and developing the appropriate training programme and coordinating appropriate internal training programs
•	Solution development using multiple technologies for integration with internal downstream and upstream systems and cloud systems.",Architect
"1.	Managing the lifecycle of all problems.
2.	Preventing incidents from happening.
3.	Minimizing the impact of unavoidable incidents.
4.	Making temporary solutions (workarounds) available to incident management.
5.	Developing final solutions for known errors.
6.	Performing trend analysis of important services or historical incidents.
7.	Adhered to monthly SLA Targets for Problem Closure.
8.	Successful in closing most of the Aged Problem Tickets.
9.	Frequent Interaction with the team to know the progress of the Problem Tickets.
10.	Represented the Organization in front of Client via various meetings.
11.	Follow up with various vendors as well to get the work done on problem tickets.",Manager
"o	Discussions with team for complete understanding of use cases/ expectations with Client for demonstrating the best feasible solution – ISAM ESSO 
o	Was part of Design team that designed the Solution Architecture for the ISAM ESSO deployment in-line with the scope of the product
o	Prepared requirement analysis documents for all applications that had to be integrated with ISAM ESSO and in the process interacted with more than 5 application owners
o	Installed and Configured ISAM ESSO in development, UAT and Production and DR set up as well 
o	Worked on Access Studio Application profiles for over 5 different Web applications using the Advanced Access Profiling Tools 
o	Configured the solution to work for both Shared desktop and personal scenario 
o	Designed Application Profiles for various web applications using the Web Workplace tool in order to demonstrate SSO over Web with team
o	Configured and demonstrated shared account logging, forgot password, password change, session management scenarios 
o	Configured one Windows profile and showcased it to customer
o	Configured wallet settings for user wallet access
o	Configured self-service capabilities to end users
o	Configured machine policies for machines and user policies
o	Was part of system support as well for 3 months and understood how to respond to support tickets",Architect
"•	Startup of this project from scratch, understanding the requirement and the process, version control, coding standard evaluation, unit testing etc.
•	Developing new user-facing features.
•	Ensure the technical feasibility of UI/UX designs.
•	Responsible for project execution and status tracking/reporting to the client.
•	Collaborating with other team members to design and implement features. 
•	Coordinating multiple project activities such as project team meetings, requirements and architecture sessions, and coordination of end-to-end efforts.",Software Engineer
"Design and deploy database architecture and systems infrastructure for corporate IT systems.
Create strategies for performing repetitive tasks such as data acquisitions, migrations, data recoveries and new database implementations.
Provide IT support for the review, analysis, troubleshoot and repair of database issues.
Define data requirements for database design and implement policies that lead to corporate solutions.
Establish guidelines for security, maintenance, utilization and business continuity.
Lead efforts in performance tuning and optimization needed to maintain customer applications.
Program and implement ETC processes and applications in Perl.
Research, develop and deploy innovative productivity applications.
Create documentation that provides guidelines in regards to maintenance tasks, policies and procedures.",Database Administrator
